queue_length,active_counters,avg_proc_time,crop_type,hour_of_day,day_of_week,waiting_minutes
50,4,5.59,MAIZE,11,0,82.1
35,4,4.53,PADDY,12,4,51.5
33,4,6.38,SOYBEAN,8,3,47.8
33,4,6.61,PADDY,14,0,64.4
51,3,6.45,MAIZE,15,0,103.1
43,4,7.4,MAIZE,12,4,92.3
37,5,7.09,COTTON,9,5,64.7
12,4,5.85,COTTON,15,5,24.0
3,3,4.69,WHEAT,14,5,2.2
1,4,5.93,MAIZE,16,5,2.0
33,5,6.57,SOYBEAN,11,3,50.0
40,2,6.32,PADDY,16,5,134.5
10,4,6.11,WHEAT,11,1,18.9
43,5,5.91,CHANA,10,4,54.9
44,4,5.38,CHANA,10,0,66.6
29,6,5.33,PADDY,9,1,29.2
13,4,6.0,PADDY,10,5,26.2
12,4,4.98,PADDY,15,1,18.4
31,4,5.52,COTTON,15,0,52.5
46,3,5.47,PADDY,9,5,89.4
2,3,6.26,CHANA,9,1,5.9
51,4,4.7,PADDY,9,3,61.7
50,3,6.99,MAIZE,14,3,120.1
35,4,6.19,SOYBEAN,13,4,54.5
23,5,6.51,CHANA,8,4,25.8
17,5,6.61,SOYBEAN,9,1,19.2
26,4,5.37,CHANA,8,0,30.4
8,5,5.91,WHEAT,14,3,7.7
29,4,7.37,MAIZE,13,2,57.3
26,4,6.8,CHANA,9,4,41.0
10,3,7.41,MAIZE,9,3,23.1
26,4,6.74,CHANA,9,5,37.8
34,4,5.03,SOYBEAN,15,1,36.3
51,4,4.69,SOYBEAN,14,3,58.7
41,4,6.23,CHANA,8,3,58.1
7,2,5.57,CHANA,11,1,21.2
4,4,5.33,COTTON,11,4,7.3
58,5,6.92,MAIZE,14,4,82.7
53,4,5.6,MAIZE,9,2,68.3
50,6,5.45,MAIZE,11,2,50.2
45,5,7.05,MAIZE,8,4,58.6
11,5,7.04,WHEAT,11,4,16.7
29,5,5.57,WHEAT,8,4,31.3
56,5,7.0,PADDY,9,4,84.8
36,4,7.05,CHANA,9,3,54.4
25,2,5.77,CHANA,10,2,78.6
21,4,4.7,CHANA,15,1,21.5
57,4,4.5,CHANA,13,0,60.9
36,3,6.07,MAIZE,13,1,71.5
10,3,5.53,MAIZE,16,5,15.6
37,6,7.49,WHEAT,15,0,42.7
9,5,6.82,SOYBEAN,9,3,11.3
24,5,6.78,COTTON,13,5,44.1
35,4,7.37,MAIZE,8,2,61.9
49,2,7.16,MAIZE,16,0,161.8
35,2,5.45,MAIZE,11,4,109.2
48,3,5.0,SOYBEAN,11,5,88.7
36,2,6.74,SOYBEAN,16,3,109.2
18,2,5.63,WHEAT,10,0,60.2
49,5,5.92,MAIZE,12,4,67.7
39,4,6.39,COTTON,8,5,73.0
32,3,7.22,CHANA,13,3,76.2
24,3,5.76,MAIZE,10,5,54.0
23,4,6.85,WHEAT,8,0,38.7
32,2,5.31,WHEAT,13,4,85.5
37,5,6.59,COTTON,9,2,60.6
12,4,4.5,PADDY,15,3,12.9
49,4,7.11,WHEAT,9,0,82.1
55,4,4.59,SOYBEAN,11,4,72.9
13,2,6.64,SOYBEAN,10,2,49.4
23,4,4.64,CHANA,16,5,22.3
25,4,5.3,WHEAT,9,4,32.7
35,4,5.99,CHANA,10,2,57.5
41,3,5.76,WHEAT,14,0,82.0
30,4,5.08,COTTON,11,4,58.2
17,4,5.5,MAIZE,13,4,23.5
49,5,6.68,WHEAT,10,1,77.9
20,4,6.51,PADDY,8,3,35.2
48,4,4.72,SOYBEAN,13,4,57.2
25,4,6.74,COTTON,11,2,66.5
22,4,4.66,MAIZE,9,3,25.3
13,4,6.13,MAIZE,14,0,22.0
59,4,5.28,SOYBEAN,12,3,86.5
19,4,6.26,MAIZE,13,1,28.3
49,5,5.28,CHANA,13,0,49.7
36,4,7.45,COTTON,16,4,80.9
12,5,5.43,PADDY,9,5,14.8
41,4,5.23,SOYBEAN,13,0,53.1
19,5,5.34,WHEAT,16,0,21.3
12,5,7.19,WHEAT,11,1,17.8
9,4,6.41,WHEAT,13,2,14.7
7,5,6.69,COTTON,14,0,13.2
28,3,7.25,PADDY,8,2,70.6
14,5,7.24,MAIZE,12,3,24.8
31,4,6.72,PADDY,11,5,70.1
52,2,5.09,PADDY,9,1,140.3
19,4,7.03,SOYBEAN,9,4,34.1
58,6,5.11,COTTON,9,0,58.4
47,2,6.73,WHEAT,14,5,164.0
16,4,6.56,SOYBEAN,11,5,28.7
53,4,6.78,MAIZE,13,2,92.7
5,5,6.1,PADDY,14,0,4.8
35,4,6.42,WHEAT,16,5,54.3
12,3,7.36,COTTON,9,1,39.5
25,2,4.8,CHANA,16,4,50.4
52,4,5.43,PADDY,12,3,93.5
59,4,6.33,PADDY,13,3,111.3
21,5,7.39,PADDY,13,2,37.7
36,2,4.79,PADDY,10,5,117.1
53,4,4.57,WHEAT,14,3,62.8
23,2,4.67,COTTON,14,2,75.1
16,3,4.66,SOYBEAN,15,4,22.3
57,4,7.22,WHEAT,12,0,120.7
39,4,6.66,COTTON,9,1,81.8
45,4,6.53,SOYBEAN,10,4,81.8
53,5,6.07,PADDY,16,4,70.0
42,4,6.85,COTTON,13,3,95.9
58,6,4.97,PADDY,15,3,49.2
39,5,5.68,COTTON,15,1,51.9
14,4,5.97,MAIZE,12,0,25.2
31,5,4.83,CHANA,8,4,24.6
58,4,5.76,PADDY,13,5,97.9
5,2,5.45,PADDY,14,3,15.0
35,4,4.61,PADDY,16,4,41.6
23,2,4.91,MAIZE,9,0,51.4
29,4,6.79,WHEAT,9,2,47.1
43,4,4.55,SOYBEAN,8,0,39.7
11,2,7.3,PADDY,12,4,54.3
18,3,4.76,PADDY,9,4,28.4
47,5,6.9,WHEAT,10,1,74.8
12,4,7.2,WHEAT,9,4,18.3
9,3,7.32,CHANA,11,3,24.3
10,4,7.1,COTTON,10,5,29.0
58,4,5.36,PADDY,16,1,82.5
44,4,5.5,COTTON,9,4,74.2
17,6,5.78,WHEAT,14,0,18.0
38,4,4.92,WHEAT,10,4,56.2
7,4,4.57,CHANA,15,0,5.5
46,5,7.11,SOYBEAN,11,0,75.7
13,5,6.16,MAIZE,11,4,18.0
40,3,6.33,MAIZE,16,0,79.0
42,3,7.28,MAIZE,10,5,117.7
9,3,6.5,WHEAT,14,2,19.8
50,4,6.57,PADDY,8,1,88.8
27,4,6.86,CHANA,14,4,45.7
58,4,4.85,SOYBEAN,9,2,60.2
2,5,5.58,MAIZE,13,0,2.9
5,4,7.4,CHANA,16,0,11.2
29,3,7.27,WHEAT,13,1,74.1
37,3,7.15,MAIZE,10,2,101.2
38,4,5.86,SOYBEAN,8,2,49.6
19,4,7.07,COTTON,11,4,49.9
8,4,4.65,SOYBEAN,11,0,8.7
48,5,4.95,PADDY,15,3,50.2
45,3,5.74,MAIZE,14,4,88.3
1,4,5.95,MAIZE,14,4,2.4
22,4,5.29,COTTON,14,4,38.3
52,4,5.57,COTTON,9,1,91.1
17,3,4.99,MAIZE,16,1,24.9
7,4,5.97,PADDY,13,4,12.5
25,2,6.88,COTTON,9,5,103.5
45,5,6.48,WHEAT,8,3,54.6
4,2,4.82,MAIZE,8,2,8.6
36,4,5.96,SOYBEAN,8,2,48.7
6,4,6.59,SOYBEAN,11,0,12.3
31,6,6.09,PADDY,11,2,40.9
19,3,5.68,WHEAT,16,2,31.9
44,3,6.37,COTTON,8,3,115.6
54,2,7.41,MAIZE,10,2,229.8
39,3,4.78,SOYBEAN,10,3,69.4
27,3,5.67,SOYBEAN,15,1,46.1
10,4,5.72,SOYBEAN,9,3,12.8
26,3,6.23,SOYBEAN,13,1,51.7
19,2,4.96,CHANA,11,3,52.4
39,5,5.03,PADDY,13,4,41.9
3,4,5.36,COTTON,12,5,7.5
45,4,7.37,MAIZE,16,1,78.9
13,3,6.7,MAIZE,16,1,28.4
50,6,6.49,MAIZE,8,2,49.9
28,3,6.95,COTTON,10,1,98.2
58,5,4.88,PADDY,8,3,59.3
20,4,7.08,WHEAT,13,4,37.3
28,2,6.28,PADDY,10,4,117.2
8,6,5.51,SOYBEAN,8,2,5.0
41,3,6.95,SOYBEAN,13,3,94.5
39,2,6.91,PADDY,12,3,177.3
1,5,7.04,PADDY,15,0,3.3
3,4,4.85,COTTON,9,1,3.0
13,4,7.41,COTTON,15,2,30.2
28,3,7.38,CHANA,12,4,74.7
57,4,5.57,MAIZE,15,5,73.7
49,4,4.7,CHANA,11,0,63.5
25,3,5.0,MAIZE,11,3,47.6
56,3,7.48,SOYBEAN,11,1,156.6
33,2,6.19,CHANA,13,4,100.3
38,3,5.57,CHANA,11,0,75.4
53,5,5.36,WHEAT,16,3,54.4
6,4,5.27,PADDY,16,4,9.7
58,6,6.49,COTTON,10,4,95.5
44,4,5.76,CHANA,14,3,63.1
45,4,7.4,COTTON,12,3,125.5
32,3,6.55,MAIZE,16,2,66.1
45,4,6.88,CHANA,9,4,69.3
47,3,5.38,MAIZE,10,3,94.9
21,3,4.74,CHANA,12,5,35.4
16,4,5.96,SOYBEAN,12,5,27.3
54,6,5.44,WHEAT,14,0,52.8
21,4,5.11,MAIZE,15,1,25.3
11,3,7.36,PADDY,15,5,30.8
37,2,5.83,PADDY,8,2,114.0
36,3,5.02,SOYBEAN,8,3,52.6
35,4,5.1,SOYBEAN,10,1,51.2
19,4,5.34,PADDY,8,2,26.8
20,5,7.5,MAIZE,8,4,26.7
57,2,5.3,PADDY,15,1,163.4
18,4,5.49,WHEAT,8,5,24.6
47,4,6.48,CHANA,16,2,67.5
41,4,5.38,WHEAT,9,3,54.8
49,4,5.15,PADDY,16,3,66.5
14,4,4.98,CHANA,14,2,18.9
15,4,5.44,PADDY,16,4,22.3
31,3,4.82,WHEAT,10,5,57.9
1,4,4.56,WHEAT,8,2,2.0
53,3,6.91,MAIZE,8,0,114.0
54,4,4.91,MAIZE,13,2,69.9
54,4,6.83,WHEAT,14,2,94.8
3,4,6.89,CHANA,16,5,2.0
16,5,6.11,MAIZE,13,3,19.0
23,5,5.43,MAIZE,12,4,28.8
57,5,4.94,COTTON,9,2,69.5
11,4,6.71,COTTON,9,1,21.8
12,4,6.3,MAIZE,15,3,18.2
10,4,6.47,PADDY,8,3,19.6
32,5,4.53,CHANA,15,2,22.8
16,4,7.28,SOYBEAN,14,5,28.9
8,6,4.7,MAIZE,14,1,10.1
38,5,5.6,COTTON,12,2,63.2
12,4,5.71,CHANA,10,1,17.4
24,3,4.5,CHANA,14,3,35.6
28,3,5.99,COTTON,14,1,74.4
53,5,6.76,CHANA,14,2,70.8
8,3,6.97,CHANA,9,0,20.0
58,5,7.14,COTTON,10,0,125.2
28,4,5.96,WHEAT,10,1,53.4
36,4,6.39,MAIZE,11,5,65.8
26,5,4.74,PADDY,16,2,26.0
8,4,5.96,SOYBEAN,8,4,9.3
58,4,4.96,PADDY,14,0,84.0
50,4,5.61,WHEAT,14,3,73.3
28,4,5.49,WHEAT,11,2,46.0
28,4,5.77,CHANA,8,2,33.4
37,3,6.21,PADDY,10,0,100.5
41,5,7.21,WHEAT,12,4,69.0
36,5,5.68,PADDY,9,3,44.9
27,3,7.44,WHEAT,14,4,70.5
54,4,6.78,SOYBEAN,14,3,91.4
17,4,6.03,WHEAT,12,0,30.4
9,3,6.43,PADDY,13,2,20.1
33,6,4.81,CHANA,8,3,25.5
53,2,7.03,PADDY,11,2,244.9
20,3,6.25,COTTON,11,1,64.2
13,4,7.46,PADDY,15,1,25.5
28,4,6.41,SOYBEAN,9,0,39.6
48,4,7.0,MAIZE,8,0,79.8
29,4,6.9,SOYBEAN,14,5,48.1
13,4,5.54,SOYBEAN,13,0,16.3
46,4,5.28,WHEAT,12,1,71.9
35,2,5.79,SOYBEAN,15,3,91.8
6,4,5.9,PADDY,9,4,10.6
18,3,5.22,MAIZE,9,0,30.2
51,3,7.18,CHANA,16,4,106.6
5,4,6.13,SOYBEAN,8,4,7.1
47,3,7.44,PADDY,13,1,136.8
25,3,6.93,WHEAT,10,5,70.3
2,3,6.17,WHEAT,12,3,3.4
10,5,7.34,CHANA,15,1,12.9
56,5,6.01,CHANA,14,0,66.2
30,4,7.16,PADDY,11,1,72.6
50,5,5.57,CHANA,15,1,47.7
59,4,5.64,CHANA,9,1,71.2
45,4,5.75,WHEAT,14,0,66.1
5,2,6.14,PADDY,12,0,19.8
55,4,6.16,MAIZE,13,1,87.5
56,4,5.99,CHANA,10,1,90.3
33,4,5.42,PADDY,14,4,53.6
54,4,7.28,SOYBEAN,14,3,98.0
1,4,6.27,WHEAT,9,4,2.4
18,4,5.72,MAIZE,8,5,24.2
32,5,6.45,WHEAT,9,3,36.7
47,4,6.8,WHEAT,15,5,74.2
49,4,7.38,COTTON,10,3,138.3
11,4,6.0,PADDY,11,1,20.4
21,4,4.84,SOYBEAN,15,4,24.2
26,4,5.82,CHANA,10,3,41.3
25,2,5.94,SOYBEAN,13,5,72.5
22,4,7.19,PADDY,9,3,43.2
59,3,5.68,WHEAT,10,0,131.2
27,4,7.36,COTTON,8,3,60.6
49,4,5.96,PADDY,16,1,77.3
13,4,7.42,MAIZE,11,2,23.8
33,3,4.52,MAIZE,13,0,52.2
34,4,7.2,PADDY,14,2,73.1
41,3,7.29,CHANA,9,1,86.4
35,5,7.38,SOYBEAN,15,2,47.6
1,5,4.54,SOYBEAN,16,3,2.0
21,6,5.02,CHANA,9,2,14.1
48,4,6.46,COTTON,12,4,117.5
55,4,4.58,WHEAT,9,1,58.7
6,3,4.69,WHEAT,12,4,10.9
28,3,5.16,MAIZE,14,2,48.2
17,4,6.04,COTTON,13,4,32.6
5,4,6.14,CHANA,11,0,8.6
31,5,4.6,PADDY,9,2,30.7
5,3,5.01,SOYBEAN,14,5,8.4
38,5,6.0,PADDY,16,4,48.1
3,4,6.28,SOYBEAN,8,3,3.2
53,4,4.95,PADDY,10,2,85.0
23,3,5.7,CHANA,14,5,40.5
37,2,7.21,CHANA,16,0,115.7
53,4,7.5,COTTON,12,3,151.6
37,4,7.46,PADDY,14,2,81.5
10,3,7.15,PADDY,14,3,28.5
10,4,5.68,COTTON,11,2,19.6
19,5,6.56,COTTON,12,2,37.9
17,5,5.75,CHANA,9,1,17.6
21,5,6.45,CHANA,15,4,26.0
14,4,5.43,MAIZE,8,2,17.7
9,3,6.32,PADDY,9,0,19.6
46,4,6.07,CHANA,10,5,74.6
1,4,4.57,CHANA,14,4,2.0
51,2,6.87,PADDY,13,1,205.8
45,3,4.54,COTTON,14,4,93.1
13,4,5.38,PADDY,12,4,24.5
4,3,4.52,WHEAT,11,2,5.6
1,3,5.63,PADDY,14,0,2.2
49,3,4.69,WHEAT,10,2,94.1
40,2,7.24,PADDY,14,0,168.1
32,4,5.75,WHEAT,9,0,43.4
34,4,5.88,WHEAT,15,3,48.6
28,4,5.55,PADDY,13,2,45.3
31,3,6.38,MAIZE,10,1,75.8
8,3,6.85,CHANA,10,5,19.1
39,4,6.44,SOYBEAN,12,4,68.8
26,4,6.74,CHANA,10,3,47.3
58,4,7.22,WHEAT,13,1,111.4
34,4,7.09,PADDY,9,5,62.2
54,5,6.52,PADDY,15,5,75.3
54,3,5.14,PADDY,16,2,100.1
3,4,6.41,PADDY,14,0,5.6
59,4,6.02,MAIZE,10,2,102.0
50,4,6.65,SOYBEAN,11,5,94.2
12,3,7.0,COTTON,9,2,32.7
1,4,6.73,WHEAT,16,3,2.2
54,4,7.04,SOYBEAN,12,1,106.3
44,3,4.69,CHANA,9,5,60.2
5,3,4.59,COTTON,13,3,12.8
30,3,5.28,COTTON,14,1,72.6
30,5,7.2,PADDY,9,3,48.2
59,2,6.97,SOYBEAN,8,4,184.4
57,6,6.55,CHANA,14,0,58.6
17,4,6.6,PADDY,8,0,30.6
48,6,6.68,PADDY,10,0,71.1
47,5,7.33,MAIZE,11,4,76.7
23,4,7.0,WHEAT,9,5,38.7
15,3,6.37,COTTON,14,5,45.9
37,3,6.5,CHANA,12,4,89.8
21,3,5.14,COTTON,8,0,42.7
14,4,6.47,SOYBEAN,15,0,21.5
2,3,5.77,WHEAT,14,1,2.7
11,3,4.96,PADDY,11,1,23.9
51,4,6.92,WHEAT,9,2,82.6
39,5,6.03,PADDY,14,3,53.6
38,3,7.43,WHEAT,9,1,90.8
34,2,5.35,PADDY,13,1,107.3
38,2,5.94,COTTON,8,1,138.0
50,5,5.84,COTTON,14,1,79.5
34,4,4.86,COTTON,14,4,55.8
18,3,5.78,COTTON,11,2,50.8
30,3,5.36,WHEAT,11,1,63.6
15,3,4.98,PADDY,12,5,32.6
27,3,5.35,COTTON,9,3,58.2
51,5,5.2,WHEAT,16,1,49.0
34,4,6.7,PADDY,11,4,73.0
52,4,4.59,WHEAT,16,5,55.9
57,5,6.35,MAIZE,10,0,84.6
38,3,6.78,COTTON,16,0,104.4
33,4,5.94,SOYBEAN,8,2,46.9
24,5,7.29,WHEAT,14,0,36.7
15,4,6.62,COTTON,11,1,37.8
30,4,6.74,CHANA,14,4,48.9
55,3,5.09,PADDY,13,2,108.2
42,3,6.83,MAIZE,11,5,110.6
51,3,7.0,COTTON,11,1,178.0
17,4,5.58,CHANA,15,0,20.6
5,4,5.14,WHEAT,14,3,4.1
29,5,5.66,WHEAT,11,1,38.6
4,4,6.72,CHANA,13,3,6.7
10,5,5.75,MAIZE,13,5,12.2
56,5,6.71,CHANA,8,3,63.5
17,3,4.84,PADDY,9,5,29.9
10,4,6.92,WHEAT,11,2,21.4
17,3,5.26,CHANA,13,4,27.4
20,4,5.25,SOYBEAN,13,0,27.6
24,5,6.27,SOYBEAN,8,0,27.4
5,3,4.71,CHANA,15,1,6.8
34,4,4.58,PADDY,9,0,42.3
6,4,5.28,WHEAT,12,2,11.8
53,4,6.11,SOYBEAN,11,0,90.6
2,4,7.22,CHANA,12,1,3.2
13,4,7.04,CHANA,12,0,28.0
43,2,5.97,COTTON,15,4,155.9
43,3,4.61,CHANA,14,5,64.4
48,2,6.11,PADDY,16,3,155.7
11,4,6.61,SOYBEAN,8,3,14.0
51,3,5.52,COTTON,13,5,125.6
47,5,4.83,SOYBEAN,13,3,47.0
57,4,5.34,SOYBEAN,9,4,67.4
23,4,6.81,PADDY,15,2,43.7
55,4,5.55,CHANA,13,1,74.9
16,4,6.94,PADDY,16,4,28.0
31,5,5.46,CHANA,12,1,34.9
11,2,4.99,COTTON,14,2,35.0
54,3,5.81,PADDY,13,4,122.3
16,4,5.86,PADDY,12,0,29.3
8,2,4.55,MAIZE,13,2,20.6
4,2,4.85,WHEAT,11,3,9.7
40,4,5.05,PADDY,10,4,65.5
4,2,4.84,MAIZE,8,2,11.3
56,4,5.52,WHEAT,8,2,73.1
25,3,7.39,CHANA,13,4,60.2
3,5,6.03,CHANA,16,3,3.9
32,4,6.38,CHANA,15,5,42.4
3,4,5.57,MAIZE,9,3,5.1
27,4,5.47,MAIZE,16,2,35.3
29,5,4.57,WHEAT,15,1,26.2
32,3,6.0,CHANA,16,5,54.9
50,5,5.95,SOYBEAN,11,5,67.1
58,4,4.97,PADDY,16,2,76.5
51,4,6.79,MAIZE,9,4,80.8
19,4,5.98,MAIZE,8,4,25.3
21,3,5.52,MAIZE,16,4,35.7
5,4,4.94,WHEAT,15,3,7.3
18,4,6.16,CHANA,14,0,23.9
28,2,6.76,SOYBEAN,15,4,84.8
42,4,5.35,PADDY,8,4,60.7
22,3,5.16,PADDY,16,5,38.6
21,3,6.07,CHANA,16,1,37.7
6,3,4.97,SOYBEAN,16,1,9.7
1,2,6.5,WHEAT,13,2,3.2
5,4,6.32,MAIZE,11,2,9.6
41,3,4.76,MAIZE,9,2,63.0
12,6,4.61,CHANA,11,4,9.0
26,4,6.36,PADDY,14,1,46.5
46,3,5.38,MAIZE,8,2,76.2
34,4,4.76,PADDY,16,1,41.6
49,5,6.78,PADDY,10,4,88.4
14,4,5.44,CHANA,11,5,20.0
26,2,5.88,COTTON,12,4,116.4
45,5,5.21,COTTON,10,2,71.3
27,4,6.38,COTTON,11,4,64.0
9,3,5.4,SOYBEAN,12,4,16.8
26,2,7.4,CHANA,8,1,82.0
57,4,6.61,PADDY,16,0,101.8
47,3,4.91,MAIZE,11,3,89.7
57,5,5.75,SOYBEAN,16,2,58.5
22,4,5.66,COTTON,11,0,47.9
47,5,6.1,WHEAT,8,5,52.8
56,4,7.03,SOYBEAN,12,2,109.0
30,3,6.25,SOYBEAN,16,0,54.9
43,3,4.68,CHANA,10,4,73.3
48,4,6.47,MAIZE,12,2,88.8
17,4,4.52,SOYBEAN,10,0,19.4
26,4,6.84,MAIZE,10,3,51.5
36,3,6.5,CHANA,8,4,69.0
1,3,5.43,WHEAT,9,2,2.0
8,2,5.38,PADDY,9,5,24.6
49,4,6.89,PADDY,16,5,91.1
35,2,6.85,COTTON,14,2,162.8
52,4,5.56,COTTON,15,0,89.0
15,4,5.4,WHEAT,9,2,19.6
47,5,6.18,PADDY,16,4,59.9
56,3,4.53,COTTON,10,1,127.1
22,3,4.75,MAIZE,9,5,31.6
14,4,4.88,SOYBEAN,8,0,14.1
26,4,5.06,CHANA,16,3,27.9
28,3,6.04,COTTON,15,2,66.3
23,5,7.48,WHEAT,11,4,41.9
14,5,6.46,PADDY,14,2,19.7
24,3,4.68,WHEAT,10,3,45.4
2,3,6.08,CHANA,10,4,6.4
45,4,5.99,CHANA,11,3,72.0
26,4,4.93,WHEAT,9,4,29.6
14,2,7.26,COTTON,11,1,77.5
59,4,5.82,COTTON,10,5,129.1
56,4,7.48,PADDY,15,4,110.3
51,3,5.76,MAIZE,9,3,91.8
7,4,6.32,PADDY,16,0,10.7
3,5,4.81,SOYBEAN,10,5,6.4
47,2,5.86,MAIZE,11,1,160.2
23,3,5.22,SOYBEAN,10,2,45.8
46,4,7.01,PADDY,10,1,106.4
43,5,6.85,MAIZE,15,1,57.7
47,6,6.97,MAIZE,15,2,49.7
45,4,6.67,SOYBEAN,13,4,76.0
18,4,7.0,WHEAT,11,1,35.2
58,4,5.1,COTTON,8,5,93.4
38,4,5.86,MAIZE,11,1,65.6
35,3,6.58,MAIZE,15,0,70.0
51,3,6.41,SOYBEAN,13,5,109.5
15,3,6.65,MAIZE,9,0,32.5
25,4,5.17,SOYBEAN,10,5,34.9
55,2,4.8,WHEAT,14,3,137.8
37,5,7.25,MAIZE,11,2,60.6
28,3,6.18,CHANA,11,5,63.3
10,3,4.96,PADDY,12,5,22.1
39,4,6.88,WHEAT,15,4,63.8
57,4,7.24,CHANA,14,4,98.5
17,2,5.01,WHEAT,16,3,40.1
39,3,6.95,COTTON,12,4,135.4
22,6,7.3,WHEAT,8,4,26.2
26,3,7.32,WHEAT,11,0,73.2
44,3,7.24,COTTON,13,4,141.6
25,5,6.14,MAIZE,13,4,32.8
17,2,5.57,PADDY,16,3,49.7
13,4,4.52,CHANA,12,3,18.6
20,4,4.68,SOYBEAN,12,1,26.5
25,3,5.79,PADDY,13,4,54.0
4,3,5.7,WHEAT,13,4,6.0
10,2,5.05,SOYBEAN,10,5,27.4
3,3,5.69,COTTON,13,4,8.8
41,2,5.02,PADDY,15,0,110.5
45,4,7.05,MAIZE,13,5,80.8
18,4,5.39,CHANA,12,4,28.2
47,4,6.3,PADDY,10,0,98.3
36,5,6.01,PADDY,8,1,45.6
47,4,4.66,MAIZE,12,5,65.0
22,2,7.33,SOYBEAN,13,2,79.2
34,5,6.08,COTTON,13,4,56.4
47,3,5.48,MAIZE,13,5,89.3
8,3,4.97,COTTON,10,3,21.0
40,4,5.52,MAIZE,11,5,63.5
49,4,4.56,PADDY,10,3,75.2
44,4,5.59,COTTON,9,4,77.5
19,3,6.09,SOYBEAN,15,0,34.6
42,4,7.12,SOYBEAN,14,3,74.6
41,3,6.56,CHANA,15,5,79.8
37,5,4.83,COTTON,13,5,47.7
6,3,4.94,CHANA,14,3,9.1
52,5,5.78,MAIZE,8,1,54.3
26,4,5.09,WHEAT,12,1,36.4
34,5,4.58,SOYBEAN,11,1,33.2
59,4,6.92,PADDY,10,3,136.1
56,4,4.56,SOYBEAN,9,3,56.1
59,3,6.99,WHEAT,16,5,131.4
45,3,4.93,PADDY,15,4,80.9
6,3,7.42,COTTON,9,4,18.3
37,5,6.31,COTTON,13,0,61.4
57,5,6.7,SOYBEAN,10,3,85.5
33,4,4.83,PADDY,10,4,53.2
53,3,7.09,MAIZE,12,4,145.3
22,4,7.02,PADDY,14,1,45.6
21,4,6.46,CHANA,14,1,33.7
6,4,6.01,WHEAT,8,1,10.1
6,4,6.66,COTTON,14,2,12.7
55,6,4.52,SOYBEAN,14,4,43.4
48,3,6.28,PADDY,13,1,118.6
4,4,7.04,COTTON,13,1,6.1
30,4,5.57,SOYBEAN,9,3,37.4
11,3,4.82,COTTON,10,5,26.5
30,3,5.76,SOYBEAN,10,1,66.2
31,2,6.68,COTTON,10,3,155.5
24,5,4.82,MAIZE,9,0,21.8
55,4,5.12,CHANA,16,1,59.4
9,4,4.94,WHEAT,13,5,10.4
55,5,6.89,COTTON,9,3,93.4
3,4,4.69,WHEAT,10,5,2.3
51,3,6.56,COTTON,13,1,151.3
31,4,5.6,PADDY,11,0,59.1
40,4,6.77,CHANA,14,1,67.2
37,4,7.39,MAIZE,13,3,72.7
36,4,4.84,CHANA,13,0,43.3
24,4,5.44,WHEAT,10,0,39.2
31,3,6.93,PADDY,15,0,77.1
6,5,5.3,SOYBEAN,16,2,5.8
2,2,5.15,CHANA,13,3,4.4
20,3,6.98,MAIZE,9,2,44.5
28,3,7.46,PADDY,8,5,74.8
11,2,6.17,PADDY,10,0,46.2
4,3,5.33,WHEAT,10,2,8.1
15,5,5.7,MAIZE,15,1,15.7
6,5,5.01,PADDY,12,2,8.3
54,3,6.79,PADDY,8,4,129.8
49,3,6.82,SOYBEAN,11,5,129.1
30,3,7.13,WHEAT,14,0,77.7
56,3,4.58,WHEAT,12,0,100.9
38,2,6.19,MAIZE,13,5,120.7
51,5,5.14,PADDY,11,5,70.0
57,3,5.52,SOYBEAN,9,3,94.1
2,4,6.85,COTTON,16,1,3.5
15,2,5.08,CHANA,9,5,33.3
11,5,6.42,WHEAT,9,5,12.9
8,4,6.46,SOYBEAN,9,3,11.9
26,5,7.36,MAIZE,8,5,36.2
51,4,6.83,SOYBEAN,10,2,92.8
45,3,6.91,PADDY,13,4,119.0
44,3,6.09,CHANA,14,4,85.1
5,4,5.06,WHEAT,8,4,6.4
6,4,5.78,COTTON,12,5,11.9
26,4,6.15,PADDY,12,4,56.3
54,2,6.54,WHEAT,8,1,169.0
4,2,6.32,MAIZE,11,2,17.6
19,4,5.68,WHEAT,8,4,27.0
20,4,5.3,SOYBEAN,8,0,21.5
33,4,5.0,CHANA,14,5,38.1
20,3,6.58,COTTON,14,2,58.2
49,4,6.44,CHANA,10,1,83.8
12,3,6.56,SOYBEAN,14,4,27.8
47,2,5.62,COTTON,10,1,199.2
1,4,5.29,COTTON,9,5,2.0
26,3,6.78,PADDY,11,4,79.7
14,3,6.82,COTTON,10,0,51.0
38,3,5.87,WHEAT,14,2,77.6
37,3,6.34,CHANA,8,0,66.2
11,2,5.62,MAIZE,13,4,30.0
36,2,6.61,MAIZE,9,3,112.4
13,3,7.01,CHANA,15,2,26.9
43,2,6.56,PADDY,12,1,185.2
3,4,6.04,COTTON,10,4,7.9
33,3,5.88,SOYBEAN,14,0,62.9
6,3,6.43,WHEAT,9,5,9.6
50,3,6.54,PADDY,12,3,141.0
56,4,6.18,COTTON,15,5,103.0
10,5,6.37,MAIZE,8,4,13.6
5,4,4.79,SOYBEAN,8,1,5.1
23,4,7.36,COTTON,10,0,63.8
10,4,6.87,PADDY,10,2,23.0
44,4,5.62,SOYBEAN,14,3,60.2
2,4,6.19,SOYBEAN,13,4,2.4
13,3,4.64,SOYBEAN,14,4,19.5
40,3,4.62,SOYBEAN,11,4,67.7
